Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,64.589996,64.839996,63.900002,64.010002,59.323444,1532200
2018-01-03,63.959999,64.150002,63.610001,63.889999,59.212238,1650100
2018-01-04,63.799999,63.959999,62.610001,62.610001,58.025955,2128500
2018-01-05,62.919998,63.020000,62.480000,62.560001,57.979610,2825800
2018-01-08,62.439999,63.320000,62.320000,63.290001,58.656162,2333300
2018-01-09,63.490002,63.970001,62.529999,62.650002,58.063019,2306100
2018-01-10,62.400002,62.400002,61.419998,61.439999,56.941608,2791700
2018-01-11,61.630001,61.930000,61.110001,61.650002,57.136238,2161600
2018-01-12,61.709999,62.060001,61.369999,61.849998,57.321594,2441900
2018-01-16,62.240002,63.240002,62.000000,62.139999,57.590366,2432500
2018-01-17,62.430000,62.990002,62.060001,62.860001,58.257648,2394200
2018-01-18,62.759998,62.759998,61.400002,61.430000,56.932350,3680700
2018-01-19,61.520000,61.779999,61.090000,61.779999,57.256718,3790300
2018-01-22,61.900002,63.160000,61.779999,63.110001,58.489346,3172200
2018-01-23,63.389999,64.980003,63.130001,64.970001,60.213165,3554300
2018-01-24,64.959999,64.989998,64.150002,64.480003,59.759045,3171700
2018-01-25,64.760002,64.760002,63.759998,64.220001,59.518074,1625200
2018-01-26,64.349998,64.500000,63.830002,64.389999,59.675625,1611900
2018-01-29,64.250000,64.250000,63.340000,63.389999,58.748844,1462600
2018-01-30,63.180000,63.410000,62.419998,62.900002,58.294720,2621700
2018-01-31,63.060001,65.169998,62.939999,65.110001,60.342911,3976900
2018-02-01,65.010002,65.190002,63.580002,63.720001,59.054676,3474200
2018-02-02,63.259998,64.199997,62.900002,63.830002,59.156631,2646800
2018-02-05,63.509998,64.220001,61.090000,61.209999,56.728451,3496700
2018-02-06,60.150002,61.209999,59.169998,60.740002,56.292866,4659500
2018-02-07,60.549999,61.910000,59.970001,60.040001,55.644115,4137500
2018-02-08,60.070000,61.049999,58.299999,58.330002,54.059319,4594200
2018-02-09,58.700001,60.880001,58.279999,60.320000,55.903614,3365000
2018-02-12,60.630001,60.790001,58.439999,60.150002,55.746067,3650500
2018-02-13,60.049999,61.430000,59.840000,61.160000,56.682114,2438900
2018-02-14,60.790001,60.790001,59.889999,60.540001,56.107513,2679500
