Date,Close
1/2/18,43.064999
1/3/18,43.057499
1/4/18,43.2575
1/5/18,43.75
1/8/18,43.587502
1/9/18,43.5825
1/10/18,43.572498
1/11/18,43.82
1/12/18,44.272499
1/16/18,44.047501
1/17/18,44.775002
1/18/18,44.814999
1/19/18,44.615002
1/22/18,44.25
1/23/18,44.259998
1/24/18,43.555
1/25/18,42.7775
1/26/18,42.877499
1/29/18,41.990002
1/30/18,41.7425
1/31/18,41.857498
2/1/18,41.945
2/2/18,40.125
2/5/18,39.122501
2/6/18,40.7575
2/7/18,39.884998
2/8/18,38.787498
2/9/18,39.102501
2/12/18,40.677502
2/13/18,41.084999
2/14/18,41.842499
2/15/18,43.247501
2/16/18,43.107498
2/20/18,42.962502
2/21/18,42.767502
2/22/18,43.125
2/23/18,43.875
2/26/18,44.7425
2/27/18,44.5975
2/28/18,44.529999
3/1/18,43.75
3/2/18,44.052502
3/5/18,44.205002
3/6/18,44.1675
3/7/18,43.7575
3/8/18,44.235001
3/9/18,44.994999
3/12/18,45.43
3/13/18,44.9925
3/14/18,44.610001
3/15/18,44.662498
3/16/18,44.505001
3/19/18,43.825001
3/20/18,43.810001
3/21/18,42.817501
3/22/18,42.212502
3/23/18,41.235001
3/26/18,43.192501
3/27/18,42.084999
3/28/18,41.619999
3/29/18,41.945
4/2/18,41.669998
4/3/18,42.0975
4/4/18,42.9025
4/5/18,43.200001
4/6/18,42.095001
4/9/18,42.512501
4/10/18,43.3125
4/11/18,43.110001
4/12/18,43.535
4/13/18,43.682499
4/16/18,43.955002
4/17/18,44.560001
4/18/18,44.459999
4/19/18,43.200001
4/20/18,41.43
4/23/18,41.310001
4/24/18,40.735001
4/25/18,40.912498
4/26/18,41.055
4/27/18,40.580002
4/30/18,41.314999
5/1/18,42.275002
5/2/18,44.142502
5/3/18,44.2225
5/4/18,45.9575
5/7/18,46.290001
5/8/18,46.512501
5/9/18,46.84
5/10/18,47.509998
5/11/18,47.147499
5/14/18,47.037498
5/15/18,46.610001
5/16/18,47.044998
5/17/18,46.747501
5/18/18,46.577499
5/21/18,46.907501
5/22/18,46.790001
5/23/18,47.09
5/24/18,47.037498
5/25/18,47.145
5/29/18,46.974998
5/30/18,46.875
5/31/18,46.717499
6/1/18,47.560001
6/4/18,47.9575
6/5/18,48.327499
6/6/18,48.494999
6/7/18,48.365002
6/8/18,47.924999
6/11/18,47.807499
6/12/18,48.07
6/13/18,47.674999
6/14/18,47.700001
6/15/18,47.209999
6/18/18,47.185001
6/19/18,46.422501
6/20/18,46.625
6/21/18,46.365002
6/22/18,46.23
6/25/18,45.5425
6/26/18,46.107498
6/27/18,46.040001
6/28/18,46.375
6/29/18,46.2775
7/2/18,46.794998
7/3/18,45.98
7/5/18,46.349998
7/6/18,46.9925
7/9/18,47.645
7/10/18,47.587502
7/11/18,46.970001
7/12/18,47.7575
7/13/18,47.8325
7/16/18,47.727501
7/17/18,47.862499
7/18/18,47.599998
7/19/18,47.970001
7/20/18,47.860001
7/23/18,47.9025
7/24/18,48.25
7/25/18,48.705002
7/26/18,48.552502
7/27/18,47.744999
7/30/18,47.477501
7/31/18,47.572498
8/1/18,50.375
8/2/18,51.8475
8/3/18,51.997501
8/6/18,52.267502
8/7/18,51.7775
8/8/18,51.8125
8/9/18,52.220001
8/10/18,51.8825
8/13/18,52.217499
8/14/18,52.4375
8/15/18,52.560001
8/16/18,53.330002
8/17/18,54.395
8/20/18,53.865002
8/21/18,53.759998
8/22/18,53.762501
